Date,Open,High,Low,Close,Adj Close,Volume
2018-07-16,2.758860,3.266900,2.731300,2.754710,2.754710,112319700
2018-07-23,2.755500,2.914520,2.519540,2.664710,2.664710,93200100
2018-07-30,2.657840,2.659190,1.740620,1.867500,1.867500,59051940
2018-08-06,1.870740,2.098040,1.639130,2.064670,2.064670,50056580
2018-08-13,2.065650,2.310340,1.788500,2.164040,2.164040,37524600
2018-08-20,2.158530,2.381510,2.027050,2.225040,2.225040,21728450
2018-08-27,2.224550,2.307600,2.001890,2.122720,2.122720,26011180
2018-09-03,2.130950,2.320080,1.862330,1.870500,1.870500,28836690
2018-09-10,1.868040,2.613250,1.842000,2.246420,2.246420,82197510
2018-09-17,2.249730,2.468820,2.083920,2.282760,2.282760,76069770
2018-09-24,2.283560,2.485900,2.061350,2.201070,2.201070,57986600
2018-10-01,2.195390,2.217980,2.064800,2.120380,2.120380,41521270
2018-10-08,2.126400,2.248730,1.845330,1.886540,1.886540,47471850
2018-10-15,1.887810,2.109110,1.878760,1.976860,1.976860,45542530
2018-10-22,1.975590,2.070970,1.877090,1.896980,1.896980,44181450
2018-10-29,1.885490,1.917900,1.754180,1.821380,1.821380,38174390
2018-11-05,1.822020,1.855730,1.710890,1.727180,1.727180,30747180
2018-11-12,1.735420,1.747280,1.431230,1.522170,1.522170,32092440
2018-11-19,1.522330,1.586010,0.918405,1.044360,1.044360,33689740
2018-11-26,1.043890,1.609667,0.945813,1.575929,1.575929,44101582
2018-12-03,1.582210,2.344124,1.365573,1.695719,1.695719,132292283
2018-12-10,1.687023,2.557601,1.526422,2.429796,2.429796,161616809
2018-12-17,2.433228,4.572164,2.369754,3.763244,3.763244,543197254
2018-12-24,3.768580,4.025319,2.989189,3.093816,3.093816,155990958
2018-12-31,3.097990,3.335633,2.988881,3.210197,3.210197,100447306
2019-01-07,3.207455,3.213567,2.487519,2.669515,2.669515,103976046
2019-01-14,2.678919,2.818612,2.495105,2.540930,2.540930,117634929
2019-01-21,2.540058,3.194092,2.472607,2.699514,2.699514,220078590
2019-01-28,2.705177,3.057451,2.524098,2.816341,2.816341,158440380
2019-02-04,2.823874,2.840292,2.476953,2.724233,2.724233,120500617
2019-02-11,2.726996,2.910973,2.575086,2.618167,2.618167,94732668
2019-02-18,2.616328,2.941857,2.614477,2.680143,2.680143,113662073
2019-02-25,2.676095,2.758897,2.617377,2.668508,2.668508,85763685
2019-03-04,2.664288,2.822827,2.559591,2.754553,2.754553,104054068
2019-03-11,2.761150,2.847588,2.625568,2.759907,2.759907,94923623
2019-03-18,2.763444,2.877819,2.730414,2.762467,2.762467,64148411
2019-03-25,2.762976,2.942222,2.656724,2.788100,2.788100,76846740
2019-04-01,2.786293,3.179745,2.756630,2.971167,2.971167,115135924
2019-04-08,2.966062,3.077534,2.507186,2.781010,2.781010,230166860
2019-04-15,2.778876,2.817754,2.557473,2.608029,2.608029,104586585
2019-04-22,2.608406,2.689436,2.087401,2.103301,2.103301,92793243
2019-04-29,2.104242,2.288244,1.966158,2.083837,2.083837,90924788
2019-05-06,2.083327,2.554512,2.045048,2.409557,2.409557,253971266
2019-05-13,2.409557,2.739321,2.203070,2.548902,2.548902,221991206
2019-05-20,2.549807,3.367419,2.319409,2.716107,2.716107,359625865
2019-05-27,2.715867,2.862705,2.496570,2.654417,2.654417,283012655
2019-06-03,2.655258,2.655258,2.227621,2.294122,2.294122,241918888
